nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.2901903651903652,0.3076923076923077,0.3415178571428571,0.30625,130
resnet50,0.3023504273504274,0.358974358974359,0.3598901098901099,0.35,161
vit,0.3694534632034632,0.358974358974359,0.4470238095238095,0.35625,63
mobilenet_v3_small,0.3918650793650793,0.4102564102564102,0.4212301587301587,0.4125,64
googlenet,0.29375,0.3076923076923077,0.3686147186147186,0.31875,65
dino_vit,0.4624771062271062,0.4871794871794871,0.537797619047619,0.48125,80
vgg11,0.3310925185925186,0.3846153846153846,0.3149305555555555,0.38125,115
convnext_tiny,0.325297619047619,0.3333333333333333,0.3569444444444444,0.33125,12
convnext_small,0.2869318181818182,0.3076923076923077,0.3541666666666666,0.3,68
convnext_base,0.2714285714285714,0.282051282051282,0.3130050505050505,0.275,101
efficientnet_v2_s,0.3013888888888889,0.3076923076923077,0.3208333333333333,0.3125,1
efficientnet_v2_m,0.3360299422799423,0.358974358974359,0.5044642857142856,0.35625,42
densenet121,0.2361978299478299,0.2564102564102564,0.3177083333333333,0.25,17
se_resnext50,0.3277319902319902,0.358974358974359,0.3691964285714285,0.35625,128
nasnet_large,0.2842060308972074,0.3076923076923077,0.2937499999999999,0.3,85
vit,0.3771915584415584,0.358974358974359,0.43660714285714286,0.35625,110
mobilenet_v3_small,0.3867743367743368,0.41025641025641024,0.41383928571428574,0.4125,78
dino_vit,0.4286751443001443,0.4358974358974359,0.521590909090909,0.43125,67
efficientnet_v2_s,0.31836219336219335,0.3333333333333333,0.3412698412698413,0.33125000000000004,12
efficientnet_v2_m,0.3037878787878788,0.358974358974359,0.2800595238095238,0.35,78
se_resnext50,0.2817550505050505,0.3076923076923077,0.2919642857142857,0.30625,36
