epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.4385,1.41952,0.28205,1,1.29658,8e-05,8e-05,0.09208
2,13.2492,1.26757,0.46154,1,1.03583,0.000169158,0.000169158,0.0831692
3,16.7632,1.01311,0.61538,1,0.80714,0.000257426,0.000257426,0.0742574
4,20.3534,0.94094,0.58974,1,0.88067,0.000344802,0.000344802,0.0653448
5,23.8782,0.90729,0.64103,1,1.03804,0.000431288,0.000431288,0.0564313
6,27.7126,0.67691,0.66667,1,0.70589,0.000516883,0.000516883,0.0475169
7,31.5794,0.64023,0.66667,1,0.744,0.000601586,0.000601586,0.0386016
8,36.1524,0.88687,0.71795,1,0.68614,0.000685398,0.000685398,0.0296854
9,42.1606,0.89292,0.61538,1,1.38819,0.00076832,0.00076832,0.0207683
10,47.5458,0.69493,0.69231,1,0.53139,0.00085035,0.00085035,0.0118504
11,53.0624,0.74657,0.74359,1,0.54472,0.00093149,0.00093149,0.00293149
12,58.556,0.82258,0.69231,1,0.90518,0.00094555,0.00094555,0.00094555
13,64.4705,0.75774,0.79487,1,0.79668,0.0009406,0.0009406,0.0009406
14,72.1912,0.42584,0.79487,1,0.48168,0.00093565,0.00093565,0.00093565
15,78.3878,0.52355,0.82051,1,0.60029,0.0009307,0.0009307,0.0009307
16,85.5522,0.60242,0.76923,1,0.55071,0.00092575,0.00092575,0.00092575
17,92.599,0.43035,0.79487,1,0.50669,0.0009208,0.0009208,0.0009208
18,99.1256,0.5373,0.71795,1,0.684,0.00091585,0.00091585,0.00091585
19,107.165,0.65345,0.66667,1,1.10793,0.0009109,0.0009109,0.0009109
20,113.891,0.58261,0.69231,1,1.49926,0.00090595,0.00090595,0.00090595
21,119.458,0.52196,0.79487,1,1.12974,0.000901,0.000901,0.000901
22,126.336,0.57292,0.79487,1,0.92567,0.00089605,0.00089605,0.00089605
23,133.42,0.45452,0.76923,1,0.32924,0.0008911,0.0008911,0.0008911
24,140.677,0.35916,0.74359,1,0.7569,0.00088615,0.00088615,0.00088615
25,146.217,0.60936,0.87179,1,0.59667,0.0008812,0.0008812,0.0008812
26,153.11,0.43347,0.89744,1,0.76149,0.00087625,0.00087625,0.00087625
27,158.976,0.429,0.82051,1,0.87096,0.0008713,0.0008713,0.0008713
28,164.467,0.33759,0.71795,1,0.86388,0.00086635,0.00086635,0.00086635
29,168.293,0.29906,0.76923,1,1.08637,0.0008614,0.0008614,0.0008614
30,173.716,0.41838,0.74359,1,0.76941,0.00085645,0.00085645,0.00085645
31,181.424,0.42597,0.87179,1,0.26552,0.0008515,0.0008515,0.0008515
32,187.681,0.57562,0.84615,1,0.95796,0.00084655,0.00084655,0.00084655
33,193.81,0.30575,0.74359,1,0.47354,0.0008416,0.0008416,0.0008416
34,200.235,0.25417,0.69231,1,0.78479,0.00083665,0.00083665,0.00083665
35,204.534,0.38033,0.64103,1,0.88712,0.0008317,0.0008317,0.0008317
36,210.237,0.42109,0.64103,1,0.95891,0.00082675,0.00082675,0.00082675
37,215.687,0.55049,0.74359,1,0.55273,0.0008218,0.0008218,0.0008218
38,220.539,0.20045,0.79487,1,0.82229,0.00081685,0.00081685,0.00081685
39,226.919,0.24205,0.79487,1,0.96818,0.0008119,0.0008119,0.0008119
40,232.641,0.5535,0.74359,1,0.7003,0.00080695,0.00080695,0.00080695
41,238.844,0.39267,0.76923,1,0.43971,0.000802,0.000802,0.000802
42,244.284,0.48421,0.82051,1,0.9936,0.00079705,0.00079705,0.00079705
43,249.19,0.4553,0.71795,1,1.03999,0.0007921,0.0007921,0.0007921
44,256.29,0.44428,0.71795,1,1.07521,0.00078715,0.00078715,0.00078715
45,263.161,0.34263,0.79487,1,0.71864,0.0007822,0.0007822,0.0007822
46,270.581,0.27707,0.84615,1,0.57521,0.00077725,0.00077725,0.00077725
47,276.174,0.15557,0.87179,1,0.84059,0.0007723,0.0007723,0.0007723
48,282.55,0.2266,0.79487,1,0.63612,0.00076735,0.00076735,0.00076735
49,287.35,0.59338,0.71795,1,0.78654,0.0007624,0.0007624,0.0007624
50,293.325,0.33049,0.71795,1,0.85608,0.00075745,0.00075745,0.00075745
51,299.542,0.25468,0.71795,1,0.87351,0.0007525,0.0007525,0.0007525
52,306.062,0.2676,0.74359,1,0.75684,0.00074755,0.00074755,0.00074755
53,310.95,0.37718,0.76923,1,1.02899,0.0007426,0.0007426,0.0007426
54,316.37,0.30546,0.82051,1,0.45644,0.00073765,0.00073765,0.00073765
55,323.202,0.43077,0.84615,1,0.35458,0.0007327,0.0007327,0.0007327
56,328.929,0.19688,0.87179,1,0.3894,0.00072775,0.00072775,0.00072775
