epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.9369,1.39719,0.41026,1,1.22719,8e-05,8e-05,0.09208
2,14.5763,1.19868,0.35897,1,1.41402,0.000169158,0.000169158,0.0831692
3,18.2938,0.86527,0.71795,1,0.72278,0.000257426,0.000257426,0.0742574
4,22.267,0.80604,0.61538,1,0.81355,0.000344802,0.000344802,0.0653448
5,25.964,0.74403,0.64103,1,0.8796,0.000431288,0.000431288,0.0564313
6,30.0505,0.43707,0.76923,1,0.5524,0.000516883,0.000516883,0.0475169
7,33.7183,0.42804,0.69231,1,0.61484,0.000601586,0.000601586,0.0386016
8,39.5972,0.70521,0.71795,1,1.2569,0.000685398,0.000685398,0.0296854
9,45.266,0.54645,0.79487,1,0.82519,0.00076832,0.00076832,0.0207683
10,50.8404,0.45726,0.79487,1,0.72238,0.00085035,0.00085035,0.0118504
11,56.5,0.47625,0.71795,1,0.72753,0.00093149,0.00093149,0.00293149
12,61.9146,0.65551,0.79487,1,0.57519,0.00094555,0.00094555,0.00094555
13,68.7477,0.55393,0.84615,1,0.43904,0.0009406,0.0009406,0.0009406
14,77.1039,0.36362,0.79487,1,0.58174,0.00093565,0.00093565,0.00093565
15,84.2265,0.24018,0.76923,1,1.17119,0.0009307,0.0009307,0.0009307
16,92.4266,0.36833,0.74359,1,1.31778,0.00092575,0.00092575,0.00092575
17,99.1381,0.29515,0.69231,1,0.77538,0.0009208,0.0009208,0.0009208
18,105.768,0.50955,0.71795,1,0.5663,0.00091585,0.00091585,0.00091585
19,113.402,0.54579,0.79487,1,0.79959,0.0009109,0.0009109,0.0009109
20,120.214,0.36711,0.69231,1,0.80191,0.00090595,0.00090595,0.00090595
21,126.169,0.38703,0.82051,1,0.58747,0.000901,0.000901,0.000901
22,133.187,0.30522,0.82051,1,0.79143,0.00089605,0.00089605,0.00089605
23,140.016,0.27664,0.79487,1,0.61454,0.0008911,0.0008911,0.0008911
24,146.936,0.35255,0.79487,1,1.79124,0.00088615,0.00088615,0.00088615
25,152.728,0.34038,0.79487,1,0.52446,0.0008812,0.0008812,0.0008812
26,160.188,0.29708,0.79487,1,0.71674,0.00087625,0.00087625,0.00087625
27,166.611,0.23756,0.84615,1,0.70851,0.0008713,0.0008713,0.0008713
28,172.577,0.25656,0.79487,1,0.63662,0.00086635,0.00086635,0.00086635
29,177.111,0.20831,0.76923,1,0.92996,0.0008614,0.0008614,0.0008614
30,183.187,0.21791,0.66667,1,1.18213,0.00085645,0.00085645,0.00085645
31,191.556,0.46586,0.61538,1,1.54554,0.0008515,0.0008515,0.0008515
32,197.958,0.3801,0.82051,1,0.74108,0.00084655,0.00084655,0.00084655
33,204.384,0.31593,0.84615,1,0.5692,0.0008416,0.0008416,0.0008416
34,210.796,0.37859,0.87179,1,0.47284,0.00083665,0.00083665,0.00083665
35,215.08,0.20937,0.76923,1,0.79922,0.0008317,0.0008317,0.0008317
36,220.764,0.17132,0.76923,1,0.97557,0.00082675,0.00082675,0.00082675
37,226.117,0.32645,0.76923,1,0.51117,0.0008218,0.0008218,0.0008218
38,230.888,0.2034,0.79487,1,0.60053,0.00081685,0.00081685,0.00081685
39,237.079,0.25747,0.74359,1,0.77164,0.0008119,0.0008119,0.0008119
40,242.797,0.25887,0.74359,1,0.73459,0.00080695,0.00080695,0.00080695
41,248.955,0.14805,0.71795,1,0.62544,0.000802,0.000802,0.000802
42,254.377,0.39205,0.74359,1,1.11902,0.00079705,0.00079705,0.00079705
43,259.307,0.34051,0.76923,1,0.85588,0.0007921,0.0007921,0.0007921
44,266.22,0.40442,0.61538,1,1.59019,0.00078715,0.00078715,0.00078715
45,273.659,0.24589,0.58974,1,1.23679,0.0007822,0.0007822,0.0007822
46,280.748,0.17985,0.66667,1,0.70368,0.00077725,0.00077725,0.00077725
47,286.204,0.0987,0.69231,1,1.05297,0.0007723,0.0007723,0.0007723
48,292.413,0.2007,0.76923,1,0.94944,0.00076735,0.00076735,0.00076735
49,297.168,0.19579,0.82051,1,1.12298,0.0007624,0.0007624,0.0007624
50,302.983,0.19427,0.74359,1,1.11198,0.00075745,0.00075745,0.00075745
51,309.112,0.21561,0.74359,1,1.74008,0.0007525,0.0007525,0.0007525
52,315.915,0.23428,0.74359,1,3.33601,0.00074755,0.00074755,0.00074755
53,320.945,0.17296,0.79487,1,2.75414,0.0007426,0.0007426,0.0007426
54,326.151,0.27222,0.82051,1,2.29313,0.00073765,0.00073765,0.00073765
55,332.887,0.22167,0.82051,1,0.9744,0.0007327,0.0007327,0.0007327
56,338.41,0.15804,0.87179,1,1.68085,0.00072775,0.00072775,0.00072775
57,344.656,0.09968,0.84615,1,1.13676,0.0007228,0.0007228,0.0007228
58,350.476,0.19615,0.82051,1,0.98424,0.00071785,0.00071785,0.00071785
59,357.055,0.0551,0.82051,1,0.65695,0.0007129,0.0007129,0.0007129
60,363.609,0.22539,0.79487,1,0.92891,0.00070795,0.00070795,0.00070795
61,367.769,0.1175,0.82051,1,0.92569,0.000703,0.000703,0.000703
62,374.304,0.14449,0.84615,1,0.68814,0.00069805,0.00069805,0.00069805
63,380.328,0.11741,0.82051,1,0.6256,0.0006931,0.0006931,0.0006931
64,387.226,0.1207,0.74359,1,0.82149,0.00068815,0.00068815,0.00068815
