epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.5183,1.42225,0.23077,1,1.51727,8e-05,8e-05,0.09208
2,11.6287,1.29031,0.25641,1,1.33615,0.000169158,0.000169158,0.0831692
3,12.9659,0.99686,0.53846,1,0.77707,0.000257426,0.000257426,0.0742574
4,14.2899,0.96985,0.48718,1,1.11388,0.000344802,0.000344802,0.0653448
5,20.1045,0.92534,0.64103,1,0.81367,0.000431288,0.000431288,0.0564313
6,23.9478,0.66602,0.58974,1,0.67263,0.000516883,0.000516883,0.0475169
7,29.2548,0.57456,0.61538,1,0.90214,0.000601586,0.000601586,0.0386016
8,34.35,0.76747,0.61538,1,1.23898,0.000685398,0.000685398,0.0296854
9,39.9471,0.69298,0.69231,1,0.84618,0.00076832,0.00076832,0.0207683
10,45.2046,0.53493,0.69231,1,0.75717,0.00085035,0.00085035,0.0118504
11,50.454,0.53877,0.69231,1,1.07987,0.00093149,0.00093149,0.00293149
12,55.6457,0.60907,0.71795,1,0.92743,0.00094555,0.00094555,0.00094555
13,61.3952,0.55757,0.74359,1,1.41886,0.0009406,0.0009406,0.0009406
14,67.5801,0.48038,0.76923,1,0.73468,0.00093565,0.00093565,0.00093565
15,72.6556,0.42395,0.79487,1,1.25898,0.0009307,0.0009307,0.0009307
16,78.4262,0.41413,0.71795,1,0.87592,0.00092575,0.00092575,0.00092575
17,83.6761,0.29289,0.74359,1,0.49117,0.0009208,0.0009208,0.0009208
18,89.1339,0.40445,0.79487,1,0.43521,0.00091585,0.00091585,0.00091585
19,95.6455,0.5323,0.82051,1,0.4825,0.0009109,0.0009109,0.0009109
20,100.957,0.52525,0.76923,1,0.89902,0.00090595,0.00090595,0.00090595
21,106.62,0.47137,0.66667,1,1.12676,0.000901,0.000901,0.000901
22,112.124,0.37793,0.71795,1,1.05146,0.00089605,0.00089605,0.00089605
23,117.607,0.36582,0.76923,1,0.77297,0.0008911,0.0008911,0.0008911
24,123.12,0.33587,0.79487,1,0.88658,0.00088615,0.00088615,0.00088615
25,127.562,0.34543,0.71795,1,1.01955,0.0008812,0.0008812,0.0008812
26,133.522,0.2722,0.71795,1,0.81845,0.00087625,0.00087625,0.00087625
27,138.535,0.28171,0.71795,1,1.01018,0.0008713,0.0008713,0.0008713
28,143.249,0.3101,0.71795,1,0.96709,0.00086635,0.00086635,0.00086635
29,147.771,0.31631,0.74359,1,1.39592,0.0008614,0.0008614,0.0008614
30,152.621,0.32993,0.58974,1,1.84468,0.00085645,0.00085645,0.00085645
31,159.332,0.41612,0.58974,1,0.9061,0.0008515,0.0008515,0.0008515
32,164.912,0.28331,0.71795,1,0.76226,0.00084655,0.00084655,0.00084655
33,170.539,0.18108,0.76923,1,0.46649,0.0008416,0.0008416,0.0008416
34,176.232,0.26413,0.79487,1,0.45499,0.00083665,0.00083665,0.00083665
35,179.899,0.40648,0.82051,1,0.89401,0.0008317,0.0008317,0.0008317
36,184.804,0.23452,0.82051,1,0.55156,0.00082675,0.00082675,0.00082675
37,190.342,0.42998,0.84615,1,0.44072,0.0008218,0.0008218,0.0008218
38,194.513,0.17143,0.84615,1,0.67074,0.00081685,0.00081685,0.00081685
39,199.478,0.25271,0.76923,1,1.29256,0.0008119,0.0008119,0.0008119
40,203.98,0.45705,0.74359,1,0.7153,0.00080695,0.00080695,0.00080695
41,208.87,0.21452,0.82051,1,1.21147,0.000802,0.000802,0.000802
42,213.29,0.29426,0.69231,1,1.65318,0.00079705,0.00079705,0.00079705
43,217.174,0.42986,0.74359,1,0.62466,0.0007921,0.0007921,0.0007921
44,222.383,0.32471,0.76923,1,1.19014,0.00078715,0.00078715,0.00078715
45,227.258,0.26728,0.79487,1,0.55453,0.0007822,0.0007822,0.0007822
46,232.824,0.1996,0.74359,1,0.58887,0.00077725,0.00077725,0.00077725
47,238.052,0.1171,0.74359,1,0.77607,0.0007723,0.0007723,0.0007723
48,242.651,0.19165,0.76923,1,1.05017,0.00076735,0.00076735,0.00076735
49,248.118,0.2543,0.74359,1,1.04846,0.0007624,0.0007624,0.0007624
50,253.515,0.26949,0.76923,1,0.62031,0.00075745,0.00075745,0.00075745
51,258.72,0.16362,0.87179,1,0.95073,0.0007525,0.0007525,0.0007525
52,264.505,0.25832,0.87179,1,1.21336,0.00074755,0.00074755,0.00074755
53,269.789,0.26108,0.84615,1,1.47668,0.0007426,0.0007426,0.0007426
54,274.258,0.2238,0.79487,1,0.50111,0.00073765,0.00073765,0.00073765
55,279.928,0.19449,0.79487,1,0.55704,0.0007327,0.0007327,0.0007327
56,284.857,0.17583,0.79487,1,0.52645,0.00072775,0.00072775,0.00072775
57,290.065,0.11231,0.79487,1,0.85365,0.0007228,0.0007228,0.0007228
58,294.81,0.2335,0.76923,1,0.84059,0.00071785,0.00071785,0.00071785
59,300.53,0.12369,0.76923,1,1.01342,0.0007129,0.0007129,0.0007129
60,306.218,0.26253,0.79487,1,0.52876,0.00070795,0.00070795,0.00070795
61,310.906,0.20805,0.76923,1,0.84969,0.000703,0.000703,0.000703
62,316.433,0.21169,0.76923,1,0.94378,0.00069805,0.00069805,0.00069805
63,321.314,0.13733,0.79487,1,0.46865,0.0006931,0.0006931,0.0006931
64,327.006,0.20751,0.79487,1,0.51355,0.00068815,0.00068815,0.00068815
65,331.851,0.11859,0.82051,1,0.81203,0.0006832,0.0006832,0.0006832
66,337.97,0.06515,0.82051,1,0.79694,0.00067825,0.00067825,0.00067825
67,342.398,0.11391,0.79487,1,0.64473,0.0006733,0.0006733,0.0006733
68,346.775,0.1439,0.79487,1,0.78884,0.00066835,0.00066835,0.00066835
69,350.984,0.14161,0.76923,1,0.59976,0.0006634,0.0006634,0.0006634
70,355.983,0.33457,0.76923,1,0.89473,0.00065845,0.00065845,0.00065845
71,360.861,0.17819,0.76923,1,0.70866,0.0006535,0.0006535,0.0006535
72,366.158,0.18643,0.82051,1,0.65524,0.00064855,0.00064855,0.00064855
73,371.01,0.14124,0.76923,1,0.42988,0.0006436,0.0006436,0.0006436
74,375.455,0.11962,0.82051,1,1.13593,0.00063865,0.00063865,0.00063865
75,380.561,0.05512,0.82051,1,0.56222,0.0006337,0.0006337,0.0006337
76,386.149,0.13759,0.79487,1,1.22,0.00062875,0.00062875,0.00062875
77,392.011,0.30403,0.79487,1,1.45384,0.0006238,0.0006238,0.0006238
78,396.685,0.22358,0.82051,1,1.91288,0.00061885,0.00061885,0.00061885
79,401.29,0.11383,0.79487,1,1.25016,0.0006139,0.0006139,0.0006139
80,405.802,0.25452,0.82051,1,1.53916,0.00060895,0.00060895,0.00060895
81,411.343,0.08115,0.84615,1,1.05515,0.000604,0.000604,0.000604
