epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.8828,1.33998,0.5641,1,0.96808,0.0008,0.0008,0.0928
2,14.9454,1.26932,0.53846,1,1.16696,0.00169158,0.00169158,0.0846916
3,18.8451,1.13298,0.51282,1,2.17176,0.00257426,0.00257426,0.0765743
4,23.1182,1.74479,0.46154,1,11.4731,0.00344802,0.00344802,0.068448
5,27.5732,1.4284,0.28205,1,268.228,0.00431288,0.00431288,0.0603129
6,32.1586,1.51064,0.23077,1,3320.76,0.00516882,0.00516882,0.0521688
7,36.5367,1.81286,0.25641,1,682.995,0.00601586,0.00601586,0.0440159
8,42.2538,1.51929,0.17949,1,1.91858,0.00685398,0.00685398,0.035854
9,48.9085,1.57464,0.25641,1,2.28494,0.0076832,0.0076832,0.0276832
10,55.7859,1.40223,0.17949,1,1.82586,0.0085035,0.0085035,0.0195035
11,62.7557,1.53587,0.17949,1,1.63205,0.0093149,0.0093149,0.0113149
12,69.5466,1.85264,0.28205,1,16.4747,0.0094555,0.0094555,0.0094555
13,76.8744,1.51924,0.28205,1,22.0175,0.009406,0.009406,0.009406
14,85.308,1.75148,0.25641,1,36.483,0.0093565,0.0093565,0.0093565
15,92.3505,1.45587,0.23077,1,45.0578,0.009307,0.009307,0.009307
16,100.284,1.37783,0.17949,1,23.6863,0.0092575,0.0092575,0.0092575
17,108.199,1.46719,0.25641,1,12.2045,0.009208,0.009208,0.009208
18,115.302,1.4973,0.33333,1,2.915,0.0091585,0.0091585,0.0091585
19,123.691,1.42066,0.28205,1,6.04293,0.009109,0.009109,0.009109
20,130.425,2.27502,0.28205,1,7.1769,0.0090595,0.0090595,0.0090595
21,136.239,1.77781,0.35897,1,5.18297,0.00901,0.00901,0.00901
22,143.484,1.78224,0.33333,1,1.4563,0.0089605,0.0089605,0.0089605
23,150.248,1.50457,0.23077,1,1.50847,0.008911,0.008911,0.008911
24,157.413,1.58353,0.30769,1,3.27604,0.0088615,0.0088615,0.0088615
25,163.134,1.53976,0.25641,1,2.45184,0.008812,0.008812,0.008812
26,170.697,1.4672,0.25641,1,2.24446,0.0087625,0.0087625,0.0087625
27,177.129,1.58222,0.25641,1,2.02094,0.008713,0.008713,0.008713
28,183.631,1.56105,0.38462,1,1.34435,0.0086635,0.0086635,0.0086635
29,188.17,1.4499,0.33333,1,1.37101,0.008614,0.008614,0.008614
30,194.51,1.36078,0.33333,1,2.0696,0.0085645,0.0085645,0.0085645
31,203.212,1.59155,0.25641,1,1.66653,0.008515,0.008515,0.008515
