epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.87729,1.42052,0.25641,1,1.35367,8e-05,8e-05,0.09208
2,11.2005,1.41052,0.25641,1,1.39713,0.000169158,0.000169158,0.0831692
3,13.8458,1.38009,0.25641,1,1.34482,0.000257426,0.000257426,0.0742574
4,16.6691,1.43004,0.23077,1,1.44669,0.000344802,0.000344802,0.0653448
5,19.5233,1.36977,0.25641,1,1.36583,0.000431288,0.000431288,0.0564313
6,22.3897,1.34037,0.33333,1,1.32814,0.000516883,0.000516883,0.0475169
7,25.8303,1.31731,0.28205,1,1.37955,0.000601586,0.000601586,0.0386016
8,30.6943,1.3685,0.30769,1,1.31427,0.000685398,0.000685398,0.0296854
9,35.7919,1.31819,0.41026,1,1.33458,0.00076832,0.00076832,0.0207683
10,40.3521,1.26939,0.35897,1,1.23803,0.00085035,0.00085035,0.0118504
11,45.0508,1.28696,0.41026,1,1.2555,0.00093149,0.00093149,0.00293149
12,49.659,1.25135,0.41026,1,1.10993,0.00094555,0.00094555,0.00094555
13,53.8708,1.19835,0.41026,1,1.27143,0.0009406,0.0009406,0.0009406
14,59.7574,1.188,0.53846,1,1.23786,0.00093565,0.00093565,0.00093565
15,64.413,1.08208,0.58974,1,1.10663,0.0009307,0.0009307,0.0009307
16,69.6865,1.03457,0.61538,1,1.20254,0.00092575,0.00092575,0.00092575
17,74.5079,1.0209,0.58974,1,0.97714,0.0009208,0.0009208,0.0009208
18,79.0907,1.00337,0.64103,1,0.95874,0.00091585,0.00091585,0.00091585
19,85.6015,1.03465,0.51282,1,1.03097,0.0009109,0.0009109,0.0009109
20,91.6691,1.04477,0.46154,1,1.03726,0.00090595,0.00090595,0.00090595
21,96.8886,0.92047,0.61538,1,0.99811,0.000901,0.000901,0.000901
22,103.581,0.98184,0.64103,1,1.04184,0.00089605,0.00089605,0.00089605
23,109.778,0.91169,0.61538,1,0.89248,0.0008911,0.0008911,0.0008911
24,116.232,0.83764,0.58974,1,1.01414,0.00088615,0.00088615,0.00088615
