epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.7492,1.38611,0.28205,1,1.38696,0.0008,0.0008,0.0928
2,13.0237,1.39857,0.48718,1,1.36429,0.00169158,0.00169158,0.0846916
3,14.5861,1.27526,0.41026,1,1.06224,0.00257426,0.00257426,0.0765743
4,16.1894,1.24547,0.61538,1,0.98196,0.00344802,0.00344802,0.068448
5,23.5718,1.28651,0.38462,1,1.32592,0.00431288,0.00431288,0.0603129
6,27.0602,1.19155,0.41026,1,1.15571,0.00516882,0.00516882,0.0521688
7,33.1824,1.08148,0.51282,1,1.08506,0.00601586,0.00601586,0.0440159
8,39.303,1.19547,0.66667,1,0.85151,0.00685398,0.00685398,0.035854
9,45.5797,1.04123,0.53846,1,1.0698,0.0076832,0.0076832,0.0276832
10,51.948,0.96125,0.58974,1,0.79759,0.0085035,0.0085035,0.0195035
11,57.342,1.05606,0.61538,1,0.87463,0.0093149,0.0093149,0.0113149
12,61.8609,0.88284,0.61538,1,0.6347,0.0094555,0.0094555,0.0094555
13,66.7758,0.80566,0.61538,1,1.30828,0.009406,0.009406,0.009406
14,71.9264,0.84155,0.61538,1,1.13487,0.0093565,0.0093565,0.0093565
15,76.4075,0.6774,0.66667,1,0.73738,0.009307,0.009307,0.009307
16,81.3043,0.75798,0.58974,1,0.69742,0.0092575,0.0092575,0.0092575
17,85.9531,0.63312,0.64103,1,1.05205,0.009208,0.009208,0.009208
18,90.3647,0.57601,0.71795,1,0.76978,0.0091585,0.0091585,0.0091585
19,95.6841,0.76535,0.71795,1,0.93818,0.009109,0.009109,0.009109
20,99.9978,0.77402,0.74359,1,0.69863,0.0090595,0.0090595,0.0090595
21,104.343,0.74197,0.69231,1,1.18254,0.00901,0.00901,0.00901
22,109.047,0.71605,0.79487,1,0.87231,0.0089605,0.0089605,0.0089605
23,113.086,0.5588,0.69231,1,0.73644,0.008911,0.008911,0.008911
24,117.644,0.87903,0.64103,1,1.09078,0.0088615,0.0088615,0.0088615
25,121.242,0.80138,0.69231,1,0.85533,0.008812,0.008812,0.008812
26,126.156,0.44155,0.74359,1,0.53664,0.0087625,0.0087625,0.0087625
27,130.318,0.49618,0.66667,1,0.6589,0.008713,0.008713,0.008713
28,134.465,0.53395,0.64103,1,1.21736,0.0086635,0.0086635,0.0086635
29,137.87,0.43468,0.53846,1,0.92381,0.008614,0.008614,0.008614
30,141.714,0.40417,0.4359,1,1.58863,0.0085645,0.0085645,0.0085645
31,147.444,0.71553,0.53846,1,1.10425,0.008515,0.008515,0.008515
32,151.719,0.7396,0.5641,1,0.99166,0.0084655,0.0084655,0.0084655
33,155.978,0.64168,0.5641,1,1.26709,0.008416,0.008416,0.008416
34,160.824,0.56588,0.53846,1,1.4259,0.0083665,0.0083665,0.0083665
35,163.877,0.64552,0.61538,1,1.10269,0.008317,0.008317,0.008317
36,167.996,0.96,0.5641,1,1.23479,0.0082675,0.0082675,0.0082675
37,172.587,0.6559,0.64103,1,1.16393,0.008218,0.008218,0.008218
38,175.956,0.41231,0.61538,1,1.09311,0.0081685,0.0081685,0.0081685
39,180.735,0.45864,0.66667,1,0.84488,0.008119,0.008119,0.008119
40,184.837,0.61944,0.58974,1,1.34084,0.0080695,0.0080695,0.0080695
41,189.497,0.36465,0.66667,1,0.92076,0.00802,0.00802,0.00802
42,193.305,0.75315,0.64103,1,1.6845,0.0079705,0.0079705,0.0079705
43,196.952,0.79156,0.66667,1,1.45668,0.007921,0.007921,0.007921
44,201.76,0.44672,0.69231,1,1.28828,0.0078715,0.0078715,0.0078715
45,207.53,0.56258,0.64103,1,1.02831,0.007822,0.007822,0.007822
46,212.813,0.39693,0.69231,1,0.81034,0.0077725,0.0077725,0.0077725
47,216.911,0.35838,0.64103,1,1.4205,0.007723,0.007723,0.007723
48,221.572,0.34114,0.76923,1,1.2875,0.0076735,0.0076735,0.0076735
49,225.766,0.66734,0.71795,1,1.16495,0.007624,0.007624,0.007624
50,230.103,0.60496,0.74359,1,0.7862,0.0075745,0.0075745,0.0075745
51,234.177,0.65653,0.74359,1,0.95031,0.007525,0.007525,0.007525
52,239.202,0.47224,0.71795,1,0.69485,0.0074755,0.0074755,0.0074755
