epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.8985,1.41396,0.33333,1,1.29304,0.0001,0.0001,0.0001
2,11.5565,1.31467,0.35897,1,1.22138,0.000211448,0.000211448,0.000211448
3,14.7151,1.14558,0.5641,1,1.07392,0.000321783,0.000321783,0.000321783
4,17.878,1.04835,0.61538,1,0.92844,0.000431003,0.000431003,0.000431003
5,21.3784,0.89142,0.61538,1,0.92143,0.00053911,0.00053911,0.00053911
6,24.827,0.69017,0.61538,1,0.71845,0.000646103,0.000646103,0.000646103
7,28.1818,0.59399,0.66667,1,0.54309,0.000751982,0.000751982,0.000751982
8,31.5556,0.7938,0.61538,1,1.07345,0.000856748,0.000856748,0.000856748
9,35.9082,0.61667,0.66667,1,1.14146,0.0009604,0.0009604,0.0009604
10,40.8496,0.47033,0.79487,1,0.57958,0.00106294,0.00106294,0.00106294
11,45.9861,0.58588,0.74359,1,0.97406,0.00116436,0.00116436,0.00116436
12,50.5148,0.67168,0.76923,1,1.15941,0.00118194,0.00118194,0.00118194
13,54.8484,0.43401,0.76923,1,1.63694,0.00117575,0.00117575,0.00117575
14,60.5813,0.45386,0.61538,1,0.98143,0.00116956,0.00116956,0.00116956
15,65.0748,0.40657,0.61538,1,1.24052,0.00116337,0.00116337,0.00116337
16,71.5187,0.49149,0.69231,1,1.02795,0.00115719,0.00115719,0.00115719
17,77.3154,0.34863,0.61538,1,0.65322,0.001151,0.001151,0.001151
18,82.7739,0.51166,0.69231,1,0.64004,0.00114481,0.00114481,0.00114481
19,89.5859,0.75359,0.74359,1,1.1573,0.00113863,0.00113863,0.00113863
20,95.5158,0.50552,0.76923,1,1.21778,0.00113244,0.00113244,0.00113244
21,100.481,0.42343,0.74359,1,1.29499,0.00112625,0.00112625,0.00112625
22,107.016,0.70471,0.71795,1,1.87444,0.00112006,0.00112006,0.00112006
23,113.203,0.46443,0.71795,1,1.43426,0.00111388,0.00111388,0.00111388
24,119.434,0.48875,0.66667,1,2.45012,0.00110769,0.00110769,0.00110769
25,124.49,0.65566,0.71795,1,1.53712,0.0011015,0.0011015,0.0011015
26,131.148,0.39087,0.71795,1,1.78218,0.00109531,0.00109531,0.00109531
27,136.967,0.42864,0.66667,1,1.90723,0.00108913,0.00108913,0.00108913
28,142.447,0.41225,0.71795,1,0.70834,0.00108294,0.00108294,0.00108294
29,146.306,0.32608,0.74359,1,1.052,0.00107675,0.00107675,0.00107675
30,151.735,0.48447,0.74359,1,1.07089,0.00107056,0.00107056,0.00107056
31,159.203,0.50405,0.64103,1,0.83065,0.00106437,0.00106437,0.00106437
32,164.859,0.42143,0.66667,1,1.04841,0.00105819,0.00105819,0.00105819
33,170.479,0.47558,0.71795,1,0.92699,0.001052,0.001052,0.001052
34,176.315,0.36419,0.74359,1,0.8121,0.00104581,0.00104581,0.00104581
35,180.12,0.45999,0.76923,1,0.58892,0.00103962,0.00103962,0.00103962
36,185.237,0.43508,0.74359,1,0.61733,0.00103344,0.00103344,0.00103344
37,189.865,0.46348,0.74359,1,0.54001,0.00102725,0.00102725,0.00102725
38,194.454,0.21161,0.69231,1,0.85287,0.00102106,0.00102106,0.00102106
39,200.149,0.28902,0.74359,1,0.5274,0.00101488,0.00101488,0.00101488
40,204.947,0.29132,0.74359,1,0.60353,0.00100869,0.00100869,0.00100869
