epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.91414,1.40768,0.33333,1,1.34613,0.0001,0.0001,0.0001
2,9.84906,1.31151,0.51282,1,1.30911,0.000211448,0.000211448,0.000211448
3,10.9632,1.19535,0.53846,1,1.0188,0.000321783,0.000321783,0.000321783
4,12.2074,1.14126,0.51282,1,0.93018,0.000431003,0.000431003,0.000431003
5,17.5947,1.05544,0.58974,1,1.0055,0.00053911,0.00053911,0.00053911
6,20.6717,0.82899,0.64103,1,0.95925,0.000646103,0.000646103,0.000646103
7,25.2458,0.7338,0.69231,1,0.66169,0.000751982,0.000751982,0.000751982
8,29.9861,0.81813,0.79487,1,0.71967,0.000856748,0.000856748,0.000856748
9,34.7861,0.79538,0.74359,1,0.74336,0.0009604,0.0009604,0.0009604
10,38.804,0.65671,0.71795,1,0.67184,0.00106294,0.00106294,0.00106294
11,43.4165,0.68877,0.66667,1,0.96199,0.00116436,0.00116436,0.00116436
12,47.6822,0.80788,0.64103,1,0.78064,0.00118194,0.00118194,0.00118194
13,52.8536,0.5261,0.74359,1,1.10878,0.00117575,0.00117575,0.00117575
14,58.2066,0.60117,0.79487,1,0.88445,0.00116956,0.00116956,0.00116956
15,62.6668,0.57029,0.76923,1,0.72561,0.00116337,0.00116337,0.00116337
16,67.6749,0.61141,0.82051,1,0.85005,0.00115719,0.00115719,0.00115719
17,72.2095,0.49666,0.71795,1,0.62989,0.001151,0.001151,0.001151
18,76.7239,0.55618,0.71795,1,0.95068,0.00114481,0.00114481,0.00114481
19,82.0376,0.59769,0.66667,1,1.27367,0.00113863,0.00113863,0.00113863
20,86.3192,0.61876,0.69231,1,0.65538,0.00113244,0.00113244,0.00113244
21,90.828,0.42139,0.74359,1,0.74718,0.00112625,0.00112625,0.00112625
22,96.0006,0.43208,0.79487,1,0.62288,0.00112006,0.00112006,0.00112006
23,101.256,0.47679,0.82051,1,0.53446,0.00111388,0.00111388,0.00111388
24,106.565,0.48219,0.69231,1,0.6722,0.00110769,0.00110769,0.00110769
25,110.814,0.81372,0.71795,1,0.85488,0.0011015,0.0011015,0.0011015
26,116.114,0.40864,0.64103,1,0.83821,0.00109531,0.00109531,0.00109531
27,120.751,0.47447,0.64103,1,1.27461,0.00108913,0.00108913,0.00108913
28,124.626,0.49059,0.76923,1,0.50192,0.00108294,0.00108294,0.00108294
29,128.581,0.37784,0.74359,1,0.99322,0.00107675,0.00107675,0.00107675
30,132.488,0.45915,0.76923,1,1.13717,0.00107056,0.00107056,0.00107056
31,138.01,0.47464,0.79487,1,0.51305,0.00106437,0.00106437,0.00106437
32,142.42,0.34908,0.82051,1,0.39337,0.00105819,0.00105819,0.00105819
33,146.924,0.37848,0.82051,1,0.4013,0.001052,0.001052,0.001052
34,151.356,0.33425,0.84615,1,0.34519,0.00104581,0.00104581,0.00104581
35,154.578,0.39383,0.84615,1,0.52141,0.00103962,0.00103962,0.00103962
36,158.75,0.43015,0.82051,1,0.56053,0.00103344,0.00103344,0.00103344
37,163.542,0.45551,0.76923,1,0.61545,0.00102725,0.00102725,0.00102725
38,166.995,0.23958,0.76923,1,0.75222,0.00102106,0.00102106,0.00102106
39,171.286,0.33722,0.71795,1,0.94446,0.00101488,0.00101488,0.00101488
40,175.138,0.43133,0.71795,1,1.30787,0.00100869,0.00100869,0.00100869
41,179.226,0.29728,0.79487,1,0.67353,0.0010025,0.0010025,0.0010025
42,182.843,0.4119,0.74359,1,1.66327,0.000996313,0.000996313,0.000996313
43,186.129,0.63269,0.74359,1,1.34811,0.000990125,0.000990125,0.000990125
44,190.492,0.24627,0.76923,1,1.19843,0.000983938,0.000983938,0.000983938
45,194.709,0.31174,0.74359,1,0.66065,0.00097775,0.00097775,0.00097775
46,199.508,0.1869,0.74359,1,0.90194,0.000971562,0.000971562,0.000971562
47,203.886,0.2107,0.76923,1,0.60034,0.000965375,0.000965375,0.000965375
48,208.029,0.21734,0.74359,1,0.81068,0.000959187,0.000959187,0.000959187
49,213.361,0.4953,0.76923,1,0.83288,0.000953,0.000953,0.000953
50,218.235,0.35084,0.76923,1,0.65786,0.000946812,0.000946812,0.000946812
51,222.917,0.32209,0.76923,1,0.80947,0.000940625,0.000940625,0.000940625
52,228.019,0.23442,0.76923,1,1.13161,0.000934438,0.000934438,0.000934438
53,232.573,0.49249,0.76923,1,1.52208,0.00092825,0.00092825,0.00092825
54,236.203,0.2836,0.76923,1,0.55241,0.000922063,0.000922063,0.000922063
55,240.921,0.36396,0.79487,1,0.51645,0.000915875,0.000915875,0.000915875
56,244.958,0.24232,0.76923,1,0.55748,0.000909688,0.000909688,0.000909688
57,249.262,0.16265,0.76923,1,0.55324,0.0009035,0.0009035,0.0009035
58,253.317,0.29739,0.79487,1,0.44044,0.000897313,0.000897313,0.000897313
59,258.178,0.21462,0.79487,1,0.59892,0.000891125,0.000891125,0.000891125
60,263.06,0.30812,0.87179,1,0.3548,0.000884938,0.000884938,0.000884938
61,266.859,0.30477,0.84615,1,0.3675,0.00087875,0.00087875,0.00087875
62,271.732,0.14673,0.84615,1,0.73406,0.000872563,0.000872563,0.000872563
63,275.763,0.31571,0.82051,1,0.39188,0.000866375,0.000866375,0.000866375
64,280.509,0.22655,0.79487,1,0.44502,0.000860188,0.000860188,0.000860188
65,284.549,0.28434,0.79487,1,0.68751,0.000854,0.000854,0.000854
66,289.427,0.19609,0.74359,1,0.81011,0.000847813,0.000847813,0.000847813
67,293.067,0.26706,0.82051,1,0.49882,0.000841625,0.000841625,0.000841625
68,296.55,0.36613,0.79487,1,1.01153,0.000835438,0.000835438,0.000835438
69,300.006,0.15934,0.79487,1,0.69052,0.00082925,0.00082925,0.00082925
70,304.445,0.24311,0.76923,1,1.60412,0.000823063,0.000823063,0.000823063
71,308.545,0.23179,0.79487,1,0.85859,0.000816875,0.000816875,0.000816875
72,313.253,0.13492,0.74359,1,1.20988,0.000810688,0.000810688,0.000810688
73,317.198,0.18531,0.71795,1,0.85316,0.0008045,0.0008045,0.0008045
74,320.962,0.14752,0.69231,1,1.29357,0.000798313,0.000798313,0.000798313
75,325.121,0.17999,0.74359,1,0.79792,0.000792125,0.000792125,0.000792125
76,329.731,0.20111,0.79487,1,0.64339,0.000785938,0.000785938,0.000785938
77,334.681,0.3982,0.82051,1,0.68067,0.00077975,0.00077975,0.00077975
78,338.546,0.24052,0.84615,1,1.86642,0.000773563,0.000773563,0.000773563
79,342.353,0.24299,0.82051,1,0.71306,0.000767375,0.000767375,0.000767375
80,346.107,0.24085,0.82051,1,1.42611,0.000761188,0.000761188,0.000761188
81,350.784,0.75734,0.74359,1,0.77207,0.000755,0.000755,0.000755
82,355.499,0.31134,0.71795,1,0.89459,0.000748813,0.000748813,0.000748813
83,359.097,0.14195,0.69231,1,1.03435,0.000742625,0.000742625,0.000742625
84,363.81,0.37519,0.69231,1,0.88469,0.000736438,0.000736438,0.000736438
85,367.976,0.27301,0.69231,1,0.75299,0.00073025,0.00073025,0.00073025
86,372.204,0.34337,0.69231,1,1.13481,0.000724062,0.000724062,0.000724062
87,376.523,0.58896,0.74359,1,1.06886,0.000717875,0.000717875,0.000717875
88,380.596,0.17176,0.79487,1,0.81114,0.000711687,0.000711687,0.000711687
89,385.121,0.21064,0.82051,1,0.72486,0.0007055,0.0007055,0.0007055
90,389.99,0.18663,0.82051,1,0.61093,0.000699312,0.000699312,0.000699312
