epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.1462,1.41952,0.28205,1,1.29658,8e-05,8e-05,0.09208
2,13.1694,1.26754,0.46154,1,1.03396,0.00016999,0.00016999,0.08317
3,16.752,1.01245,0.61538,1,0.80649,0.000259936,0.000259936,0.0742599
4,20.3648,0.94087,0.58974,1,0.87789,0.000349808,0.000349808,0.0653498
5,23.8859,0.90703,0.64103,1,1.0467,0.00043957,0.00043957,0.0564396
6,27.915,0.6758,0.66667,1,0.69793,0.000529191,0.000529191,0.0475292
7,31.6855,0.63772,0.66667,1,0.76294,0.000618638,0.000618638,0.0386186
8,36.5903,0.89149,0.71795,1,0.70932,0.000707878,0.000707878,0.0297079
9,41.8089,0.89074,0.58974,1,1.38447,0.000796877,0.000796877,0.0207969
10,47.6656,0.69492,0.69231,1,0.545,0.000885605,0.000885605,0.0118856
11,52.9298,0.76495,0.74359,1,0.57486,0.000974028,0.000974028,0.00297403
12,58.4576,0.84038,0.71795,1,0.8745,0.000992629,0.000992629,0.000992629
13,64.0401,0.76742,0.76923,1,0.77805,0.000991232,0.000991232,0.000991232
14,71.4428,0.43369,0.74359,1,0.4684,0.000989715,0.000989715,0.000989715
15,76.911,0.52315,0.79487,1,0.64909,0.000988079,0.000988079,0.000988079
16,83.4445,0.6123,0.79487,1,0.57928,0.000986323,0.000986323,0.000986323
17,90.0182,0.44152,0.79487,1,0.54199,0.000984449,0.000984449,0.000984449
18,96.1575,0.56758,0.71795,1,0.67583,0.000982456,0.000982456,0.000982456
19,103.457,0.70492,0.66667,1,1.27116,0.000980345,0.000980345,0.000980345
20,109.364,0.61435,0.69231,1,1.60573,0.000978118,0.000978118,0.000978118
21,114.263,0.53324,0.76923,1,1.15153,0.000975773,0.000975773,0.000975773
22,120.865,0.61434,0.76923,1,0.9366,0.000973312,0.000973312,0.000973312
23,126.904,0.4546,0.79487,1,0.2795,0.000970736,0.000970736,0.000970736
24,133.382,0.38593,0.87179,1,0.53347,0.000968045,0.000968045,0.000968045
25,138.383,0.65481,0.89744,1,0.59068,0.000965239,0.000965239,0.000965239
26,145.273,0.45049,0.82051,1,0.82068,0.00096232,0.00096232,0.00096232
27,151.052,0.4293,0.82051,1,0.79936,0.000959289,0.000959289,0.000959289
28,156.569,0.40905,0.79487,1,0.85983,0.000956145,0.000956145,0.000956145
29,160.213,0.31472,0.66667,1,0.93237,0.000952889,0.000952889,0.000952889
30,165.244,0.45746,0.76923,1,0.68969,0.000949524,0.000949524,0.000949524
31,172.503,0.44826,0.76923,1,0.5106,0.000946048,0.000946048,0.000946048
32,178.167,0.51885,0.79487,1,0.98329,0.000942464,0.000942464,0.000942464
33,183.618,0.27062,0.74359,1,0.65102,0.000938772,0.000938772,0.000938772
34,189.42,0.23378,0.71795,1,1.00164,0.000934973,0.000934973,0.000934973
35,193.395,0.43596,0.66667,1,1.23226,0.000931067,0.000931067,0.000931067
36,198.81,0.44549,0.64103,1,1.18119,0.000927057,0.000927057,0.000927057
37,203.477,0.54596,0.71795,1,0.98931,0.000922942,0.000922942,0.000922942
38,207.972,0.23711,0.64103,1,1.28242,0.000918725,0.000918725,0.000918725
39,213.316,0.25012,0.74359,1,1.02147,0.000914405,0.000914405,0.000914405
40,218.2,0.53883,0.71795,1,1.16874,0.000909984,0.000909984,0.000909984
41,223.598,0.39734,0.76923,1,0.5317,0.000905463,0.000905463,0.000905463
42,228.217,0.49008,0.76923,1,1.00033,0.000900844,0.000900844,0.000900844
43,232.867,0.52294,0.74359,1,0.76513,0.000896127,0.000896127,0.000896127
44,239.272,0.42825,0.87179,1,0.47036,0.000891313,0.000891313,0.000891313
45,246.088,0.36726,0.87179,1,0.33013,0.000886404,0.000886404,0.000886404
46,252.508,0.28099,0.87179,1,0.23697,0.000881401,0.000881401,0.000881401
47,257.264,0.1636,0.89744,1,0.33908,0.000876305,0.000876305,0.000876305
48,262.825,0.22633,0.76923,1,0.70769,0.000871117,0.000871117,0.000871117
49,266.851,0.49442,0.74359,1,0.70614,0.000865839,0.000865839,0.000865839
50,272.249,0.32814,0.74359,1,0.57544,0.000860473,0.000860473,0.000860473
51,277.713,0.33218,0.82051,1,0.65325,0.000855018,0.000855018,0.000855018
52,283.57,0.3352,0.79487,1,0.4829,0.000849477,0.000849477,0.000849477
53,287.797,0.36022,0.87179,1,0.58889,0.000843851,0.000843851,0.000843851
54,292.496,0.32194,0.92308,1,0.36607,0.000838141,0.000838141,0.000838141
55,298.48,0.32979,0.82051,1,0.23976,0.000832349,0.000832349,0.000832349
56,303.643,0.30943,0.87179,1,0.47419,0.000826477,0.000826477,0.000826477
57,308.992,0.24642,0.87179,1,0.6405,0.000820525,0.000820525,0.000820525
58,313.791,0.27352,0.89744,1,0.34879,0.000814495,0.000814495,0.000814495
59,320.048,0.15612,0.89744,1,0.37888,0.000808389,0.000808389,0.000808389
60,326.018,0.38793,0.87179,1,0.36076,0.000802208,0.000802208,0.000802208
61,329.467,0.23903,0.76923,1,0.6362,0.000795954,0.000795954,0.000795954
62,335.331,0.21848,0.71795,1,1.22683,0.000789628,0.000789628,0.000789628
63,340.432,0.29991,0.74359,1,0.87765,0.000783231,0.000783231,0.000783231
64,346.598,0.23026,0.69231,1,0.88994,0.000776766,0.000776766,0.000776766
65,351.621,0.23604,0.71795,1,0.61246,0.000770234,0.000770234,0.000770234
66,357.628,0.14388,0.79487,1,0.72337,0.000763637,0.000763637,0.000763637
67,361.973,0.18959,0.84615,1,0.44768,0.000756976,0.000756976,0.000756976
68,366.438,0.22216,0.82051,1,0.86223,0.000750252,0.000750252,0.000750252
69,369.848,0.24962,0.79487,1,0.90518,0.000743468,0.000743468,0.000743468
70,375.304,0.29868,0.79487,1,0.83976,0.000736625,0.000736625,0.000736625
71,380.633,0.31743,0.82051,1,1.24368,0.000729725,0.000729725,0.000729725
72,386.784,0.15062,0.76923,1,0.91078,0.00072277,0.00072277,0.00072277
73,392.008,0.18538,0.76923,1,0.73362,0.000715761,0.000715761,0.000715761
74,396.82,0.15338,0.76923,1,1.06479,0.0007087,0.0007087,0.0007087
75,402.393,0.20588,0.76923,1,0.5775,0.000701588,0.000701588,0.000701588
76,408.142,0.18767,0.84615,1,0.96664,0.000694428,0.000694428,0.000694428
77,413.584,0.24799,0.84615,1,0.71317,0.000687222,0.000687222,0.000687222
78,418.876,0.14802,0.84615,1,1.12623,0.00067997,0.00067997,0.00067997
79,423.551,0.20657,0.87179,1,0.48778,0.000672675,0.000672675,0.000672675
80,428.636,0.19916,0.82051,1,0.97151,0.000665339,0.000665339,0.000665339
81,434.807,0.17955,0.76923,1,1.20859,0.000657963,0.000657963,0.000657963
82,440.686,0.13826,0.71795,1,0.76576,0.00065055,0.00065055,0.00065055
83,445.461,0.11502,0.71795,1,1.21476,0.000643101,0.000643101,0.000643101
84,451.424,0.16355,0.82051,1,0.64506,0.000635617,0.000635617,0.000635617
