epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.5308,1.38011,0.25641,1,1.45392,8e-05,8e-05,0.09208
2,11.6892,1.32733,0.48718,1,1.4064,0.00016999,0.00016999,0.08317
3,13.1327,1.0921,0.46154,1,0.95326,0.000259936,0.000259936,0.0742599
4,14.6227,1.10052,0.53846,1,1.09087,0.000349808,0.000349808,0.0653498
5,20.4083,1.04637,0.64103,1,0.81893,0.00043957,0.00043957,0.0564396
6,24.3172,0.85789,0.64103,1,0.77429,0.000529191,0.000529191,0.0475292
7,29.6133,0.80767,0.74359,1,0.65313,0.000618638,0.000618638,0.0386186
8,34.8291,0.92942,0.69231,1,0.91638,0.000707878,0.000707878,0.0297079
9,40.7056,0.90068,0.64103,1,1.11056,0.000796877,0.000796877,0.0207969
10,45.788,0.77452,0.61538,1,0.97215,0.000885605,0.000885605,0.0118856
11,50.6511,0.89753,0.66667,1,1.06237,0.000974028,0.000974028,0.00297403
12,55.5342,0.90036,0.74359,1,0.73252,0.000992629,0.000992629,0.000992629
13,60.9142,0.75983,0.76923,1,0.80972,0.000991232,0.000991232,0.000991232
14,66.8629,0.59296,0.74359,1,0.71497,0.000989715,0.000989715,0.000989715
15,71.6441,0.56836,0.71795,1,0.6247,0.000988079,0.000988079,0.000988079
16,77.018,0.66504,0.76923,1,1.10513,0.000986323,0.000986323,0.000986323
17,82.4357,0.53797,0.66667,1,0.71846,0.000984449,0.000984449,0.000984449
18,87.0244,0.65713,0.53846,1,0.98168,0.000982456,0.000982456,0.000982456
19,92.32,0.56527,0.5641,1,1.06962,0.000980345,0.000980345,0.000980345
20,97.1279,0.60617,0.74359,1,0.84839,0.000978118,0.000978118,0.000978118
21,101.923,0.63419,0.71795,1,1.84473,0.000975773,0.000975773,0.000975773
22,106.649,0.48372,0.71795,1,1.55959,0.000973312,0.000973312,0.000973312
23,111.387,0.55039,0.71795,1,0.8757,0.000970736,0.000970736,0.000970736
24,116.346,0.50353,0.71795,1,0.82357,0.000968045,0.000968045,0.000968045
25,120.313,0.55594,0.79487,1,0.83865,0.000965239,0.000965239,0.000965239
26,126.08,0.45704,0.76923,1,0.89557,0.00096232,0.00096232,0.00096232
27,130.763,0.43299,0.71795,1,0.99074,0.000959289,0.000959289,0.000959289
28,135.019,0.4978,0.71795,1,0.46424,0.000956145,0.000956145,0.000956145
29,138.852,0.35298,0.71795,1,0.64344,0.000952889,0.000952889,0.000952889
30,143.362,0.48384,0.69231,1,1.34804,0.000949524,0.000949524,0.000949524
31,149.756,0.5345,0.66667,1,1.23034,0.000946048,0.000946048,0.000946048
32,154.644,0.53111,0.84615,1,0.71046,0.000942464,0.000942464,0.000942464
33,159.493,0.35913,0.76923,1,0.70623,0.000938772,0.000938772,0.000938772
34,164.779,0.32227,0.76923,1,0.77206,0.000934973,0.000934973,0.000934973
35,168.28,0.44765,0.74359,1,0.64644,0.000931067,0.000931067,0.000931067
36,172.65,0.50314,0.76923,1,0.54622,0.000927057,0.000927057,0.000927057
37,177.657,0.56128,0.79487,1,0.33224,0.000922942,0.000922942,0.000922942
38,181.543,0.29103,0.79487,1,0.37162,0.000918725,0.000918725,0.000918725
39,186.343,0.35585,0.74359,1,0.51992,0.000914405,0.000914405,0.000914405
40,190.478,0.51039,0.82051,1,0.44939,0.000909984,0.000909984,0.000909984
41,194.771,0.28501,0.84615,1,0.44168,0.000905463,0.000905463,0.000905463
42,198.645,0.51103,0.79487,1,0.90795,0.000900844,0.000900844,0.000900844
43,202.188,0.53074,0.82051,1,0.70424,0.000896127,0.000896127,0.000896127
44,206.937,0.40105,0.82051,1,0.83342,0.000891313,0.000891313,0.000891313
45,212.323,0.34524,0.79487,1,0.48548,0.000886404,0.000886404,0.000886404
46,217.071,0.41018,0.82051,1,0.45417,0.000881401,0.000881401,0.000881401
