nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.4501262626262626,0.4615384615384615,0.5807291666666666,0.4625,74
resnet50,0.3745969308469308,0.358974358974359,0.396875,0.3625,177
vit,0.403517316017316,0.4102564102564102,0.4119047619047619,0.40625,147
mobilenet_v3_small,0.3804292929292929,0.4102564102564102,0.4330357142857143,0.40625,67
googlenet,0.3867063492063492,0.4102564102564102,0.4979166666666667,0.40625,104
dino_vit,0.4598214285714285,0.4615384615384615,0.4791666666666666,0.45625,86
vgg11,0.4336004273504273,0.4358974358974359,0.5086309523809524,0.4375,112
convnext_tiny,0.3912927350427351,0.4102564102564102,0.4141369047619047,0.40625,65
convnext_small,0.3301387939545834,0.358974358974359,0.3586309523809524,0.35625,41
convnext_base,0.2911706349206349,0.3076923076923077,0.3266369047619047,0.3,114
efficientnet_v2_s,0.3271464646464647,0.358974358974359,0.3119047619047619,0.35,75
efficientnet_v2_m,0.2484339190221543,0.3076923076923077,0.2444444444444444,0.3,138
densenet121,0.3462481962481962,0.358974358974359,0.3702380952380952,0.35625,35
se_resnext50,0.3208333333333333,0.358974358974359,0.3098214285714286,0.35,97
nasnet_large,0.3171744921744921,0.3076923076923077,0.365625,0.30625,140
resnet18,0.40555555555555556,0.4358974358974359,0.5023809523809524,0.43124999999999997,121
resnet50,0.30748462064251536,0.3076923076923077,0.4157738095238095,0.30000000000000004,74
vit,0.3958867521367522,0.41025641025641024,0.41205357142857146,0.40625,166
mobilenet_v3_small,0.27107267732267737,0.3076923076923077,0.2621527777777778,0.30625,25
googlenet,0.3402236652236652,0.3333333333333333,0.4056547619047619,0.33125,89
dino_vit,0.47876984126984123,0.48717948717948717,0.50625,0.48125,101
vgg11,0.41284271284271284,0.41025641025641024,0.46071428571428574,0.40625,97
convnext_tiny,0.37957251082251087,0.38461538461538464,0.42708333333333337,0.38125,73
convnext_small,0.3536796536796537,0.38461538461538464,0.4234126984126984,0.38125000000000003,36
convnext_base,0.3041666666666667,0.3333333333333333,0.3010760073260073,0.33125000000000004,108
efficientnet_v2_s,0.2749888591800356,0.3076923076923077,0.35,0.30625,21
efficientnet_v2_m,0.26208323839902786,0.3076923076923077,0.2732142857142857,0.3,82
densenet121,0.26955931495405183,0.3076923076923077,0.29255952380952377,0.30625,73
se_resnext50,0.3411255411255411,0.358974358974359,0.45384615384615384,0.35000000000000003,87
nasnet_large,0.3528950216450217,0.3333333333333333,0.4513888888888889,0.3375,161
