nome,f1_macro,accuracy,precision_macro,recall_macro,best_epoch
resnet18,0.404656862745098,0.4102564102564102,0.5697916666666667,0.40625,110
resnet50,0.3714008214008214,0.3846153846153846,0.4300189393939394,0.3875,14
vit,0.3098484848484848,0.3076923076923077,0.3249999999999999,0.3,88
mobilenet_v3_small,0.3433600713012478,0.358974358974359,0.3541666666666666,0.3625,29
googlenet,0.409090909090909,0.4102564102564102,0.4208333333333333,0.40625,133
dino_vit,0.4309974747474747,0.4358974358974359,0.4354166666666667,0.43125,97
vgg11,0.3878510378510378,0.3846153846153846,0.4230654761904762,0.3875,112
convnext_tiny,0.3255952380952381,0.3333333333333333,0.3714285714285714,0.3375,55
convnext_small,0.3825722888222888,0.3846153846153846,0.4211309523809523,0.3875,107
convnext_base,0.3261146125116713,0.3333333333333333,0.4543269230769231,0.33125,2
efficientnet_v2_s,0.2864621489621489,0.3076923076923077,0.370486111111111,0.3,59
efficientnet_v2_m,0.2773809523809524,0.282051282051282,0.3101190476190476,0.275,54
densenet121,0.2673733129615482,0.282051282051282,0.3625,0.28125,47
se_resnext50,0.2760912698412698,0.3076923076923077,0.2893939393939394,0.3,68
nasnet_large,0.3733100233100233,0.358974358974359,0.4125,0.3625,8
resnet18,0.40267857142857144,0.41025641025641024,0.46041666666666664,0.40625,100
resnet50,0.3558802308802309,0.358974358974359,0.4151785714285714,0.3625,41
vit,0.37083333333333335,0.358974358974359,0.40535714285714286,0.35625,179
mobilenet_v3_small,0.327815934065934,0.3333333333333333,0.38125,0.34375,61
googlenet,0.39024725274725275,0.38461538461538464,0.45625,0.39375000000000004,138
dino_vit,0.4428932178932179,0.4358974358974359,0.4875,0.4375,93
vgg11,0.41246253746253747,0.4358974358974359,0.494047619047619,0.4375,62
convnext_tiny,0.40370670995671,0.41025641025641024,0.4215277777777778,0.4125,76
convnext_small,0.34809634809634804,0.358974358974359,0.3645833333333333,0.35624999999999996,25
convnext_base,0.2755952380952381,0.28205128205128205,0.33194444444444443,0.28125,4
efficientnet_v2_s,0.2967948717948718,0.3076923076923077,0.3208333333333333,0.30625,9
efficientnet_v2_m,0.2569444444444444,0.28205128205128205,0.2743055555555555,0.28125,141
densenet121,0.22894707949055776,0.23076923076923078,0.40327380952380953,0.23125,90
se_resnext50,0.2871565934065934,0.3333333333333333,0.28348214285714285,0.33125,67
nasnet_large,0.2907828282828283,0.28205128205128205,0.38345588235294115,0.28750000000000003,84
